"Step","Nov 29 09:23 Bilstm BALD MC-Dropout INIT20% INC1500 AQ10 10 AL - valid_auroc(epoch)","Nov 29 09:23 Bilstm BALD MC-Dropout INIT20% INC1500 AQ10 10 AL - valid_auroc(epoch)__MIN","Nov 29 09:23 Bilstm BALD MC-Dropout INIT20% INC1500 AQ10 10 AL - valid_auroc(epoch)__MAX","Nov 27 22:56 Bilstm BALD MC-Dropout INIT20% AL INC1500 ACQ5 - valid_auroc(epoch)","Nov 27 22:56 Bilstm BALD MC-Dropout INIT20% AL INC1500 ACQ5 - valid_auroc(epoch)__MIN","Nov 27 22:56 Bilstm BALD MC-Dropout INIT20% AL INC1500 ACQ5 - valid_auroc(epoch)__MAX","Nov 27 14:29 Bilstm MARGIN Single INIT20% AL ACQ10 - valid_auroc(epoch)","Nov 27 14:29 Bilstm MARGIN Single INIT20% AL ACQ10 - valid_auroc(epoch)__MIN","Nov 27 14:29 Bilstm MARGIN Single INIT20% AL ACQ10 - valid_auroc(epoch)__MAX","Nov 27 09:50 Bilstm MARGIN Single INIT20% AL ACQ5 - valid_auroc(epoch)","Nov 27 09:50 Bilstm MARGIN Single INIT20% AL ACQ5 - valid_auroc(epoch)__MIN","Nov 27 09:50 Bilstm MARGIN Single INIT20% AL ACQ5 - valid_auroc(epoch)__MAX"
"0","0.554140717367329","0.554140717367329","0.554140717367329","0.5541413065400729","0.5541413065400729","0.5541413065400729","0.5575669709023728","0.5575669709023728","0.5575669709023728","0.5575669709023728","0.5575669709023728","0.5575669709023728"
"1","0.6061398324597481","0.6061398324597481","0.6061398324597481","0.6061407821183956","0.6061407821183956","0.6061407821183956","0.6080948018895214","0.6080948018895214","0.6080948018895214","0.6080948018895214","0.6080948018895214","0.6080948018895214"
"2","0.733340678227318","0.733340678227318","0.733340678227318","0.7325195626810227","0.7325195626810227","0.7325195626810227","0.7386831948333268","0.7386831948333268","0.7386831948333268","0.7386831948333268","0.7386831948333268","0.7386831948333268"
"3","0.7905827845236466","0.7905827845236466","0.7905827845236466","0.7864269004534679","0.7864269004534679","0.7864269004534679","0.7937368859284314","0.7937368859284314","0.7937368859284314","0.7937368859284314","0.7937368859284314","0.7937368859284314"
"4","0.8225447817452886","0.8225447817452886","0.8225447817452886","0.8202444329846003","0.8202444329846003","0.8202444329846003","0.8115213103207196","0.8115213103207196","0.8115213103207196","0.8115213103207196","0.8115213103207196","0.8115213103207196"
"5","0.8372468341165815","0.8372468341165815","0.8372468341165815","0.8416829131692533","0.8416829131692533","0.8416829131692533","0.8329651840583834","0.8329651840583834","0.8329651840583834","0.7944443245916526","0.7944443245916526","0.7944443245916526"
"6","0.8447948400052603","0.8447948400052603","0.8447948400052603","0.8495721392342128","0.8495721392342128","0.8495721392342128","0.8469609831786946","0.8469609831786946","0.8469609831786946","0.8107388391710529","0.8107388391710529","0.8107388391710529"
"7","0.8477277189590077","0.8477277189590077","0.8477277189590077","0.8576663392553487","0.8576663392553487","0.8576663392553487","0.850247924159976","0.850247924159976","0.850247924159976","0.8521540335585347","0.8521540335585347","0.8521540335585347"
"8","0.8466641133168911","0.8466641133168911","0.8466641133168911","0.8590254682157337","0.8590254682157337","0.8590254682157337","0.8533720320062904","0.8533720320062904","0.8533720320062904","0.8509199806909202","0.8509199806909202","0.8509199806909202"
"9","0.8483080695315635","0.8483080695315635","0.8483080695315635","0.8574779923512995","0.8574779923512995","0.8574779923512995","0.842325430757583","0.842325430757583","0.842325430757583","0.8464505839926647","0.8464505839926647","0.8464505839926647"
"10","0.8564057648624429","0.8564057648624429","0.8564057648624429","0.8719830295450551","0.8719830295450551","0.8719830295450551","0.8332444779047447","0.8332444779047447","0.8332444779047447","0.8362750939703466","0.8362750939703466","0.8362750939703466"
"11","0.8618097439225642","0.8618097439225642","0.8618097439225642","0.8722582927513604","0.8722582927513604","0.8722582927513604","0.8216795207886118","0.8216795207886118","0.8216795207886118","0.842799237301903","0.842799237301903","0.842799237301903"
"12","0.8620556046041942","0.8620556046041942","0.8620556046041942","0.871411669662499","0.871411669662499","0.871411669662499","0.837555141518687","0.837555141518687","0.837555141518687","0.8428089230854182","0.8428089230854182","0.8428089230854182"
"13","0.8671561315356846","0.8671561315356846","0.8671561315356846","0.8668330986188102","0.8668330986188102","0.8668330986188102","0.8489856799648648","0.8489856799648648","0.8489856799648648","0.845554343172123","0.845554343172123","0.845554343172123"
"14","0.8596789280289263","0.8596789280289263","0.8596789280289263","0.8622103099976762","0.8622103099976762","0.8622103099976762","0.8440087556371375","0.8440087556371375","0.8440087556371375","0.8549104726476471","0.8549104726476471","0.8549104726476471"
"15","0.8531619642886069","0.8531619642886069","0.8531619642886069","0.866631074728367","0.866631074728367","0.866631074728367","0.8475336835793826","0.8475336835793826","0.8475336835793826","0.8475820093879668","0.8475820093879668","0.8475820093879668"
"16","0.8498717794521428","0.8498717794521428","0.8498717794521428","0.8640030584481662","0.8640030584481662","0.8640030584481662","0.8424524679430628","0.8424524679430628","0.8424524679430628","0.8440137297630373","0.8440137297630373","0.8440137297630373"
"17","0.8683714547465119","0.8683714547465119","0.8683714547465119","0.8732406605743","0.8732406605743","0.8732406605743","0.8387893261764477","0.8387893261764477","0.8387893261764477","0.8338696862787014","0.8338696862787014","0.8338696862787014"
