"Step","L Nov 26 19:18 Bilstm INIT20% Naive - train_auroc(epoch)","L Nov 26 19:18 Bilstm INIT20% Naive - train_auroc(epoch)__MIN","L Nov 26 19:18 Bilstm INIT20% Naive - train_auroc(epoch)__MAX","L Nov 26 19:18 Bilstm INIT20% Naive - valid_auroc(epoch)","L Nov 26 19:18 Bilstm INIT20% Naive - valid_auroc(epoch)__MIN","L Nov 26 19:18 Bilstm INIT20% Naive - valid_auroc(epoch)__MAX","L Nov 26 18:47 Bilstm INIT10% Naive - train_auroc(epoch)","L Nov 26 18:47 Bilstm INIT10% Naive - train_auroc(epoch)__MIN","L Nov 26 18:47 Bilstm INIT10% Naive - train_auroc(epoch)__MAX","L Nov 26 18:47 Bilstm INIT10% Naive - valid_auroc(epoch)","L Nov 26 18:47 Bilstm INIT10% Naive - valid_auroc(epoch)__MIN","L Nov 26 18:47 Bilstm INIT10% Naive - valid_auroc(epoch)__MAX","L Nov 26 18:27 Bilstm INIT5% Naive - train_auroc(epoch)","L Nov 26 18:27 Bilstm INIT5% Naive - train_auroc(epoch)__MIN","L Nov 26 18:27 Bilstm INIT5% Naive - train_auroc(epoch)__MAX","L Nov 26 18:27 Bilstm INIT5% Naive - valid_auroc(epoch)","L Nov 26 18:27 Bilstm INIT5% Naive - valid_auroc(epoch)__MIN","L Nov 26 18:27 Bilstm INIT5% Naive - valid_auroc(epoch)__MAX","L Nov 26 18:16 Bilstm INIT1% Naive - train_auroc(epoch)","L Nov 26 18:16 Bilstm INIT1% Naive - train_auroc(epoch)__MIN","L Nov 26 18:16 Bilstm INIT1% Naive - train_auroc(epoch)__MAX","L Nov 26 18:16 Bilstm INIT1% Naive - valid_auroc(epoch)","L Nov 26 18:16 Bilstm INIT1% Naive - valid_auroc(epoch)__MIN","L Nov 26 18:16 Bilstm INIT1% Naive - valid_auroc(epoch)__MAX","Nov 26 00:40 Bilstm INIT100% Naive - train_auroc(epoch)","Nov 26 00:40 Bilstm INIT100% Naive - train_auroc(epoch)__MIN","Nov 26 00:40 Bilstm INIT100% Naive - train_auroc(epoch)__MAX","Nov 26 00:40 Bilstm INIT100% Naive - valid_auroc(epoch)","Nov 26 00:40 Bilstm INIT100% Naive - valid_auroc(epoch)__MIN","Nov 26 00:40 Bilstm INIT100% Naive - valid_auroc(epoch)__MAX","Nov 25 23:19 Bilstm INIT50% Naive - train_auroc(epoch)","Nov 25 23:19 Bilstm INIT50% Naive - train_auroc(epoch)__MIN","Nov 25 23:19 Bilstm INIT50% Naive - train_auroc(epoch)__MAX","Nov 25 23:19 Bilstm INIT50% Naive - valid_auroc(epoch)","Nov 25 23:19 Bilstm INIT50% Naive - valid_auroc(epoch)__MIN","Nov 25 23:19 Bilstm INIT50% Naive - valid_auroc(epoch)__MAX","Nov 25 22:43 Bilstm INIT20% Naive - train_auroc(epoch)","Nov 25 22:43 Bilstm INIT20% Naive - train_auroc(epoch)__MIN","Nov 25 22:43 Bilstm INIT20% Naive - train_auroc(epoch)__MAX","Nov 25 22:43 Bilstm INIT20% Naive - valid_auroc(epoch)","Nov 25 22:43 Bilstm INIT20% Naive - valid_auroc(epoch)__MIN","Nov 25 22:43 Bilstm INIT20% Naive - valid_auroc(epoch)__MAX","Nov 25 22:22 Bilstm INIT10% Naive - train_auroc(epoch)","Nov 25 22:22 Bilstm INIT10% Naive - train_auroc(epoch)__MIN","Nov 25 22:22 Bilstm INIT10% Naive - train_auroc(epoch)__MAX","Nov 25 22:22 Bilstm INIT10% Naive - valid_auroc(epoch)","Nov 25 22:22 Bilstm INIT10% Naive - valid_auroc(epoch)__MIN","Nov 25 22:22 Bilstm INIT10% Naive - valid_auroc(epoch)__MAX","Nov 25 22:08 Bilstm INIT5% Naive - train_auroc(epoch)","Nov 25 22:08 Bilstm INIT5% Naive - train_auroc(epoch)__MIN","Nov 25 22:08 Bilstm INIT5% Naive - train_auroc(epoch)__MAX","Nov 25 22:08 Bilstm INIT5% Naive - valid_auroc(epoch)","Nov 25 22:08 Bilstm INIT5% Naive - valid_auroc(epoch)__MIN","Nov 25 22:08 Bilstm INIT5% Naive - valid_auroc(epoch)__MAX","Nov 25 22:01 Bilstm INIT1% Naive - train_auroc(epoch)","Nov 25 22:01 Bilstm INIT1% Naive - train_auroc(epoch)__MIN","Nov 25 22:01 Bilstm INIT1% Naive - train_auroc(epoch)__MAX","Nov 25 22:01 Bilstm INIT1% Naive - valid_auroc(epoch)","Nov 25 22:01 Bilstm INIT1% Naive - valid_auroc(epoch)__MIN","Nov 25 22:01 Bilstm INIT1% Naive - valid_auroc(epoch)__MAX"
"0","0.4962695556712713","0.4962695556712713","0.4962695556712713","0.5317376580377479","0.5317376580377479","0.5317376580377479","0.5006974548531357","0.5006974548531357","0.5006974548531357","0.5186247930830334","0.5186247930830334","0.5186247930830334","0.5063850961222254","0.5063850961222254","0.5063850961222254","0.5112029116261626","0.5112029116261626","0.5112029116261626","0.4992719084734754","0.4992719084734754","0.4992719084734754","0.506020875270124","0.506020875270124","0.506020875270124","0.6400150000854721","0.6400150000854721","0.6400150000854721","0.8207965494447619","0.8207965494447619","0.8207965494447619","0.5243670206427085","0.5243670206427085","0.5243670206427085","0.6531749084260103","0.6531749084260103","0.6531749084260103","0.5034680814758744","0.5034680814758744","0.5034680814758744","0.5575329866105879","0.5575329866105879","0.5575329866105879","0.5047513980586323","0.5047513980586323","0.5047513980586323","0.5105738878937918","0.5105738878937918","0.5105738878937918","0.5038483899638768","0.5038483899638768","0.5038483899638768","0.5193463763278633","0.5193463763278633","0.5193463763278633","0.494704017909999","0.494704017909999","0.494704017909999","0.49152074542532365","0.49152074542532365","0.49152074542532365"
"1","0.48831977133695975","0.48831977133695975","0.48831977133695975","0.5384499777507125","0.5384499777507125","0.5384499777507125","0.49204276159872906","0.49204276159872906","0.49204276159872906","0.5328517937066839","0.5328517937066839","0.5328517937066839","0.49985812444295546","0.49985812444295546","0.49985812444295546","0.5169631621467415","0.5169631621467415","0.5169631621467415","0.5238039804085522","0.5238039804085522","0.5238039804085522","0.5064064207238246","0.5064064207238246","0.5064064207238246","0.8579438194534871","0.8579438194534871","0.8579438194534871","0.8908307960324023","0.8908307960324023","0.8908307960324023","0.7247747222133731","0.7247747222133731","0.7247747222133731","0.8154617830349045","0.8154617830349045","0.8154617830349045","0.5332906801720844","0.5332906801720844","0.5332906801720844","0.608027451691691","0.608027451691691","0.608027451691691","0.5060164992282512","0.5060164992282512","0.5060164992282512","0.5608875727006905","0.5608875727006905","0.5608875727006905","0.4876031568029253","0.4876031568029253","0.4876031568029253","0.5084831413188176","0.5084831413188176","0.5084831413188176","0.5073639066000502","0.5073639066000502","0.5073639066000502","0.5051979804205543","0.5051979804205543","0.5051979804205543"
"2","0.49458043863219475","0.49458043863219475","0.49458043863219475","0.5298810025217559","0.5298810025217559","0.5298810025217559","0.484503494338949","0.484503494338949","0.484503494338949","0.5399047806341124","0.5399047806341124","0.5399047806341124","0.494326735733349","0.494326735733349","0.494326735733349","0.5243676251432375","0.5243676251432375","0.5243676251432375","0.49293891439250787","0.49293891439250787","0.49293891439250787","0.5078099485871256","0.5078099485871256","0.5078099485871256","0.9068638119008275","0.9068638119008275","0.9068638119008275","0.9103712400861963","0.9103712400861963","0.9103712400861963","0.8426590841928759","0.8426590841928759","0.8426590841928759","0.847753577075354","0.847753577075354","0.847753577075354","0.6560964194884595","0.6560964194884595","0.6560964194884595","0.7391363020419758","0.7391363020419758","0.7391363020419758","0.534407645959384","0.534407645959384","0.534407645959384","0.5829557915941034","0.5829557915941034","0.5829557915941034","0.5373631331581089","0.5373631331581089","0.5373631331581089","0.5390130153982946","0.5390130153982946","0.5390130153982946","0.483049192568894","0.483049192568894","0.483049192568894","0.5152994110276693","0.5152994110276693","0.5152994110276693"
"3","0.48778081900819975","0.48778081900819975","0.48778081900819975","0.5275476488389365","0.5275476488389365","0.5275476488389365","0.47956120422673165","0.47956120422673165","0.47956120422673165","0.5405204438496919","0.5405204438496919","0.5405204438496919","0.5045951708374028","0.5045951708374028","0.5045951708374028","0.5301624719403899","0.5301624719403899","0.5301624719403899","0.48393679018005903","0.48393679018005903","0.48393679018005903","0.5108013510347684","0.5108013510347684","0.5108013510347684","0.930996151383085","0.930996151383085","0.930996151383085","0.9163614712807414","0.9163614712807414","0.9163614712807414","0.8867720622214614","0.8867720622214614","0.8867720622214614","0.8830971300200403","0.8830971300200403","0.8830971300200403","0.7673147986132639","0.7673147986132639","0.7673147986132639","0.7936209592801738","0.7936209592801738","0.7936209592801738","0.6178855747746831","0.6178855747746831","0.6178855747746831","0.6327159175742925","0.6327159175742925","0.6327159175742925","0.5350281080805477","0.5350281080805477","0.5350281080805477","0.55892041553014","0.55892041553014","0.55892041553014","0.5059073376204504","0.5059073376204504","0.5059073376204504","0.5142028477933961","0.5142028477933961","0.5142028477933961"
"4","0.48577914304057496","0.48577914304057496","0.48577914304057496","0.5263682710145838","0.5263682710145838","0.5263682710145838","0.4897123981959364","0.4897123981959364","0.4897123981959364","0.5344803066525513","0.5344803066525513","0.5344803066525513","0.4974596806427108","0.4974596806427108","0.4974596806427108","0.5344795735966235","0.5344795735966235","0.5344795735966235","0.49856462182833816","0.49856462182833816","0.49856462182833816","0.5129230760071438","0.5129230760071438","0.5129230760071438","0.9477202477008194","0.9477202477008194","0.9477202477008194","0.9179635716231896","0.9179635716231896","0.9179635716231896","0.9183232705798513","0.9183232705798513","0.9183232705798513","0.8940863815324901","0.8940863815324901","0.8940863815324901","0.8379506361301092","0.8379506361301092","0.8379506361301092","0.81120452876047","0.81120452876047","0.81120452876047","0.689458872406313","0.689458872406313","0.689458872406313","0.6511939422738526","0.6511939422738526","0.6511939422738526","0.5769824040892905","0.5769824040892905","0.5769824040892905","0.5707372500374301","0.5707372500374301","0.5707372500374301","0.5639067540541437","0.5639067540541437","0.5639067540541437","0.5083222173751912","0.5083222173751912","0.5083222173751912"
"5","0.4848273485788148","0.4848273485788148","0.4848273485788148","0.5255624876615738","0.5255624876615738","0.5255624876615738","0.47692017352405275","0.47692017352405275","0.47692017352405275","0.5321096118731045","0.5321096118731045","0.5321096118731045","0.4967323986656416","0.4967323986656416","0.4967323986656416","0.5383816301998365","0.5383816301998365","0.5383816301998365","0.5136910720472035","0.5136910720472035","0.5136910720472035","0.5143722583135467","0.5143722583135467","0.5143722583135467","0.9584056610499997","0.9584056610499997","0.9584056610499997","0.921486661414845","0.921486661414845","0.921486661414845","0.9392604811411004","0.9392604811411004","0.9392604811411004","0.8984323775933913","0.8984323775933913","0.8984323775933913","0.8808306977027186","0.8808306977027186","0.8808306977027186","0.8351815883371102","0.8351815883371102","0.8351815883371102","0.7669471634627905","0.7669471634627905","0.7669471634627905","0.7443376201361659","0.7443376201361659","0.7443376201361659","0.6392244195754291","0.6392244195754291","0.6392244195754291","0.5809145776623853","0.5809145776623853","0.5809145776623853","0.5714601244531334","0.5714601244531334","0.5714601244531334","0.5050467588112991","0.5050467588112991","0.5050467588112991"
"6","0.48730562669433036","0.48730562669433036","0.48730562669433036","0.5219923761537063","0.5219923761537063","0.5219923761537063","0.4749684979954547","0.4749684979954547","0.4749684979954547","0.5296682640868331","0.5296682640868331","0.5296682640868331","0.5083208878552298","0.5083208878552298","0.5083208878552298","0.5381751963274073","0.5381751963274073","0.5381751963274073","0.5272198193749772","0.5272198193749772","0.5272198193749772","0.5159567713726594","0.5159567713726594","0.5159567713726594","0.9684298118687883","0.9684298118687883","0.9684298118687883","0.9174664693934701","0.9174664693934701","0.9174664693934701","0.9549476033656005","0.9549476033656005","0.9549476033656005","0.8965893453867367","0.8965893453867367","0.8965893453867367","0.9145171760505441","0.9145171760505441","0.9145171760505441","0.8523237909508246","0.8523237909508246","0.8523237909508246","0.8240413799986323","0.8240413799986323","0.8240413799986323","0.7864441365307856","0.7864441365307856","0.7864441365307856","0.6697904762871453","0.6697904762871453","0.6697904762871453","0.6033432515831213","0.6033432515831213","0.6033432515831213","0.5587714449867583","0.5587714449867583","0.5587714449867583","0.5056259713677419","0.5056259713677419","0.5056259713677419"
"7","0.48617633764076257","0.48617633764076257","0.48617633764076257","0.5226989945646138","0.5226989945646138","0.5226989945646138","0.4779611834974868","0.4779611834974868","0.4779611834974868","0.5276837865335913","0.5276837865335913","0.5276837865335913","0.4909646779736104","0.4909646779736104","0.4909646779736104","0.5360093786609915","0.5360093786609915","0.5360093786609915","0.5434699244474563","0.5434699244474563","0.5434699244474563","0.5178053370190089","0.5178053370190089","0.5178053370190089","0.976168030564223","0.976168030564223","0.976168030564223","0.9142909991392285","0.9142909991392285","0.9142909991392285","0.9651828908728103","0.9651828908728103","0.9651828908728103","0.8957574821516431","0.8957574821516431","0.8957574821516431","0.9375649049066954","0.9375649049066954","0.9375649049066954","0.8543543364114218","0.8543543364114218","0.8543543364114218","0.8724762303923851","0.8724762303923851","0.8724762303923851","0.7841882930069678","0.7841882930069678","0.7841882930069678","0.7133846987656053","0.7133846987656053","0.7133846987656053","0.6404097450226467","0.6404097450226467","0.6404097450226467","0.5758432427562198","0.5758432427562198","0.5758432427562198","0.5097531995496662","0.5097531995496662","0.5097531995496662"
"8","0.4919416197437956","0.4919416197437956","0.4919416197437956","0.5227005386135092","0.5227005386135092","0.5227005386135092","0.47333868345245395","0.47333868345245395","0.47333868345245395","0.528241302296854","0.528241302296854","0.528241302296854","0.47527651683312594","0.47527651683312594","0.47527651683312594","0.5334833149105603","0.5334833149105603","0.5334833149105603","0.5920536526997685","0.5920536526997685","0.5920536526997685","0.5193126307408857","0.5193126307408857","0.5193126307408857","0.9816738243756032","0.9816738243756032","0.9816738243756032","0.9120619219370111","0.9120619219370111","0.9120619219370111","0.9735645977210802","0.9735645977210802","0.9735645977210802","0.8954495957966276","0.8954495957966276","0.8954495957966276","0.9543820466602154","0.9543820466602154","0.9543820466602154","0.8569391811762325","0.8569391811762325","0.8569391811762325","0.9044020709137132","0.9044020709137132","0.9044020709137132","0.7906712972190365","0.7906712972190365","0.7906712972190365","0.7842985279458571","0.7842985279458571","0.7842985279458571","0.6649654045286576","0.6649654045286576","0.6649654045286576","0.5749557099334467","0.5749557099334467","0.5749557099334467","0.5155482033487956","0.5155482033487956","0.5155482033487956"
"9","0.4884887483308247","0.4884887483308247","0.4884887483308247","0.5192134593117257","0.5192134593117257","0.5192134593117257","0.47747016951325155","0.47747016951325155","0.47747016951325155","0.5262914669990583","0.5262914669990583","0.5262914669990583","0.4786242722468466","0.4786242722468466","0.4786242722468466","0.5310539428279818","0.5310539428279818","0.5310539428279818","0.5446655894906948","0.5446655894906948","0.5446655894906948","0.5208515127907282","0.5208515127907282","0.5208515127907282","0.9858939151251723","0.9858939151251723","0.9858939151251723","0.9067608119241505","0.9067608119241505","0.9067608119241505","0.9802269953601667","0.9802269953601667","0.9802269953601667","0.8916352938309725","0.8916352938309725","0.8916352938309725","0.9687929979480844","0.9687929979480844","0.9687929979480844","0.8489023311595414","0.8489023311595414","0.8489023311595414","0.9287788103871305","0.9287788103871305","0.9287788103871305","0.8075638228264536","0.8075638228264536","0.8075638228264536","0.8189655554114307","0.8189655554114307","0.8189655554114307","0.6898913943960077","0.6898913943960077","0.6898913943960077","0.6205241557195561","0.6205241557195561","0.6205241557195561","0.5212210788651324","0.5212210788651324","0.5212210788651324"
