"Step","Nov 27 22:56 Bilstm BALD MC-Dropout INIT20% AL INC1500 ACQ5 - valid_auroc(epoch)","Nov 27 22:56 Bilstm BALD MC-Dropout INIT20% AL INC1500 ACQ5 - valid_auroc(epoch)__MIN","Nov 27 22:56 Bilstm BALD MC-Dropout INIT20% AL INC1500 ACQ5 - valid_auroc(epoch)__MAX","Nov 27 12:52 Bilstm BALD MC-Dropout INIT20% AL INC500 ACQ5 - valid_auroc(epoch)","Nov 27 12:52 Bilstm BALD MC-Dropout INIT20% AL INC500 ACQ5 - valid_auroc(epoch)__MIN","Nov 27 12:52 Bilstm BALD MC-Dropout INIT20% AL INC500 ACQ5 - valid_auroc(epoch)__MAX","Nov 26 20:49 Bilstm BALD MC-Dropout INIT20% AL INC300 - valid_auroc(epoch)","Nov 26 20:49 Bilstm BALD MC-Dropout INIT20% AL INC300 - valid_auroc(epoch)__MIN","Nov 26 20:49 Bilstm BALD MC-Dropout INIT20% AL INC300 - valid_auroc(epoch)__MAX"
"0","0.5541413065400729","0.5541413065400729","0.5541413065400729","0.5541382741212468","0.5541382741212468","0.5541382741212468","0.554142145082133","0.554142145082133","0.554142145082133"
"1","0.6061407821183956","0.6061407821183956","0.6061407821183956","0.6061434646158511","0.6061434646158511","0.6061434646158511","0.6061424252378657","0.6061424252378657","0.6061424252378657"
"2","0.7325195626810227","0.7325195626810227","0.7325195626810227","0.7331714158011473","0.7331714158011473","0.7331714158011473","0.7340845481860651","0.7340845481860651","0.7340845481860651"
"3","0.7864269004534679","0.7864269004534679","0.7864269004534679","0.7903947100495383","0.7903947100495383","0.7903947100495383","0.800610538289674","0.800610538289674","0.800610538289674"
"4","0.8202444329846003","0.8202444329846003","0.8202444329846003","0.8227734104929265","0.8227734104929265","0.8227734104929265","0.8271424548689795","0.8271424548689795","0.8271424548689795"
"5","0.8416829131692533","0.8416829131692533","0.8416829131692533","0.8411915563807851","0.8411915563807851","0.8411915563807851","0.8419138214579812","0.8419138214579812","0.8419138214579812"
"6","0.8495721392342128","0.8495721392342128","0.8495721392342128","0.8524257070160095","0.8524257070160095","0.8524257070160095","0.8540022106848252","0.8540022106848252","0.8540022106848252"
"7","0.8576663392553487","0.8576663392553487","0.8576663392553487","0.8557314188264192","0.8557314188264192","0.8557314188264192","0.853535258336043","0.853535258336043","0.853535258336043"
"8","0.8590254682157337","0.8590254682157337","0.8590254682157337","0.8531442040822594","0.8531442040822594","0.8531442040822594","0.8613123030121598","0.8613123030121598","0.8613123030121598"
"9","0.8574779923512995","0.8574779923512995","0.8574779923512995","0.8517784125723494","0.8517784125723494","0.8517784125723494","0.8611646762430971","0.8611646762430971","0.8611646762430971"
"10","0.8719830295450551","0.8719830295450551","0.8719830295450551","0.8595239691639013","0.8595239691639013","0.8595239691639013","0.8567517152421805","0.8567517152421805","0.8567517152421805"
"11","0.8722582927513604","0.8722582927513604","0.8722582927513604","0.8577793875317447","0.8577793875317447","0.8577793875317447","0.8609433482659258","0.8609433482659258","0.8609433482659258"
"12","0.871411669662499","0.871411669662499","0.871411669662499","0.8590946975812258","0.8590946975812258","0.8590946975812258","0.8632547001381353","0.8632547001381353","0.8632547001381353"
