"Step","model_name_or_path: bert - train_loss(epoch)","model_name_or_path: bert - train_loss(epoch)__MIN","model_name_or_path: bert - train_loss(epoch)__MAX","model_name_or_path: bert - valid_loss(epoch)","model_name_or_path: bert - valid_loss(epoch)__MIN","model_name_or_path: bert - valid_loss(epoch)__MAX","model_name_or_path: cnnlstm - train_loss(epoch)","model_name_or_path: cnnlstm - train_loss(epoch)__MIN","model_name_or_path: cnnlstm - train_loss(epoch)__MAX","model_name_or_path: cnnlstm - valid_loss(epoch)","model_name_or_path: cnnlstm - valid_loss(epoch)__MIN","model_name_or_path: cnnlstm - valid_loss(epoch)__MAX","model_name_or_path: bilstm - train_loss(epoch)","model_name_or_path: bilstm - train_loss(epoch)__MIN","model_name_or_path: bilstm - train_loss(epoch)__MAX","model_name_or_path: bilstm - valid_loss(epoch)","model_name_or_path: bilstm - valid_loss(epoch)__MIN","model_name_or_path: bilstm - valid_loss(epoch)__MAX"
"0","0.6481970844937743","0.5429258991917261","0.6853382885456085","0.5985653356959423","0.40127214416861534","0.6837950572371483","0.3648415356506914","0.24815359604444434","0.5945739150047302","0.2596377997348706","0.19389453530311584","0.2992866076529026","0.3673735807643091","0.25607794094428743","0.619165688753128","0.2776404768228531","0.19766630977392197","0.3882836401462555"
"1","0.5736703159722125","0.3439341328984542","0.6861789524555206","0.5404183516899744","0.30118200555443764","0.6831420958042145","0.2657144867488684","0.17816524818646823","0.3813706785440445","0.24857187022765478","0.16350768133997917","0.3432711474597454","0.26075739288787475","0.17850671258332917","0.34161578118801117","0.24683432560414076","0.1614231262356043","0.309148121625185"
"2","0.5280166075853666","0.2900793087139404","0.6845654845237732","0.5053632321457068","0.27905305847525597","0.681969940662384","0.2366216963054322","0.1481945949921505","0.31648389995098114","0.22959153074771166","0.14997574873268604","0.29256897419691086","0.23847295281762193","0.14729131736772524","0.3103887438774109","0.23261660182227692","0.1493410710245371","0.29386159032583237"
"3","0.49864926503415424","0.27689813281134734","0.6829987466335297","0.48024093732237816","0.27256277948617935","0.6802819967269897","0.2188217121388115","0.12830716473378723","0.3013230562210083","0.22072046374281248","0.1458524391055107","0.29267939552664757","0.22002477833880577","0.1290619445147274","0.2860167324542999","0.2220391913627585","0.1475982330739498","0.27726960927248"
"4","0.4765300530331536","0.27239557457484787","0.6821230947971344","0.46087027837832767","0.27016740292310715","0.678084522485733","0.2018683653231439","0.11156450824396645","0.2874867767095566","0.21393355168402195","0.14684191159904003","0.27736011892557144","0.204227939711481","0.11420185114893554","0.2767917364835739","0.22198596068968376","0.15218921564519405","0.2785663492977619"
"5","0.45904030189704265","0.27056601707883876","0.6799215078353882","0.4453482559571664","0.26919541135430336","0.6753863915801048","0.18775961979238653","0.09721127032845032","0.28488390147686005","0.2144583941747745","0.15753266960382462","0.2801884114742279","0.19058833548445964","0.10254736059754015","0.2739222049713135","0.21539198979735374","0.15521952137351036","0.27325714379549026"
"6","0.4444784520308156","0.2698874793035521","0.6774563491344452","0.43213744709889096","0.2687913216650486","0.6721984148025513","0.17273336170188114","0.08340514443895157","0.277547225356102","0.21489781172325215","0.17184307798743248","0.2720418721437454","0.17608142356936565","0.09074248079706332","0.26961997151374817","0.21435861444721618","0.16585187800228596","0.27422942966222763"
"7","0.43202707052292094","0.26976005486447174","0.6742094159126282","0.42066184617578983","0.2686193883419037","0.6685333251953125","0.1590562524036774","0.07380231386452592","0.27344901859760284","0.2220187565932671","0.18751203082501888","0.27743588015437126","0.16300803835150962","0.07938539098760636","0.27050018310546875","0.21748591462771097","0.17428945377469063","0.2749153859913349"
"8","0.4211141835133705","0.2694843812383336","0.6707017123699188","0.41094247934718925","0.26854928955435753","0.6644089221954346","0.14788116120642827","0.06789750767295523","0.2748996168375015","0.224106146954","0.18901878967881203","0.2703367695212364","0.14980633247644667","0.06949216286524487","0.26932449638843536","0.22198288391033807","0.18417790159583092","0.2722662091255188"
"9","0.4120091234759114","0.2693028248471322","0.6679035425186157","0.4026459163675706","0.2685236930847168","0.6598488390445709","0.13522082823830614","0.060529119273138456","0.2688700258731842","0.2339383071909348","0.20287281461060047","0.27058175951242447","0.13695301932797863","0.06122240046602037","0.2669900208711624","0.227578221509854","0.19417289458215237","0.26986874639987946"
