"Step","model_name_or_path: bert - train_acc(epoch)","model_name_or_path: bert - train_acc(epoch)__MIN","model_name_or_path: bert - train_acc(epoch)__MAX","model_name_or_path: bert - valid_acc(epoch)","model_name_or_path: bert - valid_acc(epoch)__MIN","model_name_or_path: bert - valid_acc(epoch)__MAX","model_name_or_path: cnnlstm - train_acc(epoch)","model_name_or_path: cnnlstm - train_acc(epoch)__MIN","model_name_or_path: cnnlstm - train_acc(epoch)__MAX","model_name_or_path: cnnlstm - valid_acc(epoch)","model_name_or_path: cnnlstm - valid_acc(epoch)__MIN","model_name_or_path: cnnlstm - valid_acc(epoch)__MAX","model_name_or_path: bilstm - train_acc(epoch)","model_name_or_path: bilstm - train_acc(epoch)__MIN","model_name_or_path: bilstm - train_acc(epoch)__MAX","model_name_or_path: bilstm - valid_acc(epoch)","model_name_or_path: bilstm - valid_acc(epoch)__MIN","model_name_or_path: bilstm - valid_acc(epoch)__MAX"
"0","0.07964473162822412","0.05084745762711865","0.1304335521847408","0.08660213958227203","0.046357615894039736","0.16709118695873662","0.18283984273227605","0.11299435028248588","0.32340955399592486","0.2637120054338597","0.16046867040244522","0.49617931737137033","0.16114303487230391","0.0847457627118644","0.2824598143536337","0.22185430463576158","0.0728476821192053","0.4880285277636271"
"1","0.1025258781709177","0.04519774011299435","0.16498754810957664","0.10672440142638819","0.046357615894039736","0.16709118695873662","0.2855889359026022","0.16101694915254236","0.5500056599501925","0.31558838512480897","0.16505348955680083","0.5934793683138054","0.25698980666711585","0.11016949152542373","0.5443174100067919","0.29894718967566647","0.16046867040244522","0.6072338257768721"
"2","0.11234958337483031","0.04519774011299435","0.1664308354086484","0.12684666327050434","0.046357615894039736","0.16709118695873662","0.3491247707692031","0.17231638418079095","0.6420364500792393","0.3610969604347088","0.16505348955680083","0.6418746816097809","0.32806696864200874","0.1553672316384181","0.6376499886800996","0.3457293258617762","0.16046867040244522","0.6434029546612328"
"3","0.12269965897905655","0.06508205998868138","0.16425175458455965","0.12684666327050434","0.046357615894039736","0.16709118695873662","0.4024922430004299","0.1638418079096045","0.7021734208738963","0.39607743250127353","0.1696383087111564","0.6530820173204279","0.38704163067304337","0.1638418079096045","0.6884763414081956","0.3775683477670233","0.16046867040244522","0.6428935303107488"
"4","0.13107144898828565","0.07866440294284098","0.16430835408648403","0.14696892511462048","0.046357615894039736","0.16709118695873662","0.45398000431107316","0.1638418079096045","0.7489529092143989","0.4148412294107658","0.16709118695873662","0.6586856851757514","0.4435438997133592","0.192090395480226","0.7293411817976002","0.3948038716250637","0.16046867040244522","0.6581762608252675"
"5","0.13675918642912205","0.08192090395480225","0.16730812768847633","0.14696892511462048","0.046357615894039736","0.16709118695873662","0.49366772371695883","0.12994350282485875","0.7856576862123613","0.4253693326541009","0.17116658176260827","0.6586856851757514","0.4885424188415435","0.18926553672316385","0.7601313108444646","0.42613346917982686","0.16352521650534896","0.6632705043301069"
"6","0.13818037449819007","0.07627118644067797","0.16787412270772017","0.14696892511462048","0.046357615894039736","0.16709118695873662","0.5405195168584327","0.1440677966101695","0.8218530676930043","0.43700118865681786","0.1599592460519613","0.6490066225165563","0.5325754770163039","0.1977401129943503","0.7880065655422233","0.4407369672270334","0.1619969434538971","0.6561385634233317"
"7","0.14359499801963727","0.0903954802259887","0.16490264885669007","0.14696892511462048","0.046357615894039736","0.16709118695873662","0.5866304802142582","0.1751412429378531","0.8471813448041657","0.44761419595856683","0.17014773306164035","0.6423841059602649","0.5694040982139413","0.16666666666666666","0.8182872990717681","0.45219901511292243","0.16097809475292918","0.6591951095262354"
"8","0.14121586533948222","0.06497175141242938","0.16447815259225718","0.14696892511462048","0.046357615894039736","0.16709118695873662","0.6249839684148927","0.2033898305084746","0.8615293185419969","0.4593309560196977","0.17677024961793172","0.6367804381049414","0.6192201330297694","0.22033898305084745","0.8420024903780847","0.45865172355238576","0.16556291390728478","0.6439123790117167"
"9","0.1464773617088688","0.08757062146892655","0.16511035653650255","0.14696892511462048","0.046357615894039736","0.16709118695873662","0.6561103052515003","0.18926553672316385","0.8743491057278696","0.4639157751740533","0.18339276617422312","0.6418746816097809","0.6559866026596134","0.2570621468926554","0.8618972153045054","0.4701137714382748","0.16352521650534896","0.6551197147223637"
"10","0.14444164723368058","0.06497175141242938","0.1658177702320317","0.14696892511462048","0.046357615894039736","0.16709118695873662","0.6865232867017023","0.211864406779661","0.8904233642743944","0.4624724061810155","0.18186449312277128","0.6337238920020377","0.6878203471745502","0.22598870056497175","0.8804052524337785","0.4715571404313126","0.1640346408558329","0.6484971981660723"
"11","0.14607737268547208","0.06779661016949153","0.16666666666666666","0.14696892511462048","0.046357615894039736","0.16709118695873662","0.7173721433486205","0.2288135593220339","0.9168553316730813","0.46680251316012905","0.20173204279164544","0.6413652572592969","0.7229030243306908","0.2627118644067797","0.8966493094860766","0.47376464595007645","0.1696383087111564","0.6541008660213958"
"12","0.14620155624617595","0.07909604519774012","0.1671383291827032","0.14696892511462048","0.046357615894039736","0.16709118695873662","0.7493415370404174","0.268361581920904","0.9353916685533167","0.4746136865342164","0.20275089149261336","0.6505348955680081","0.7480669732042226","0.2853107344632768","0.9099218926873444","0.4797928340974699","0.1686194600101885","0.6556291390728477"
"13","0.14655049575238058","0.07909604519774012","0.16504414761150102","0.14696892511462048","0.046357615894039736","0.16709118695873662","0.7615360199292501","0.2570621468926554","0.9435702965813901","0.4746136865342163","0.19765664798777383","0.6474783494651044","0.7691220069670193","0.327683615819209","0.9136857595653158","0.4769060961113942","0.17371370351502802","0.6571574121242996"
"14","0.15059463914405996","0.08757062146892655","0.17087389630971248","0.14696892511462048","0.046357615894039736","0.16709118695873662","0.7832482999557024","0.2768361581920904","0.9506735340729001","0.4811512990320938","0.21548650025471217","0.6321956189505858","0.7999632771915802","0.3700564971751412","0.9282601313108445","0.4821701477330616","0.17422312786551197","0.6581762608252675"
"15","0.1491238701165244","0.0847457627118644","0.16751556310130164","0.14696892511462048","0.046357615894039736","0.16709118695873662","0.801432254857973","0.2994350282485876","0.9612293411817976","0.4767362879945661","0.23433520122261844","0.6199694345389709","0.8126562838294445","0.3644067796610169","0.9420421100294317","0.4851417897775514","0.17371370351502802","0.6484971981660723"
"16","0.1440792931266834","0.062146892655367235","0.1644029428409734","0.14696892511462048","0.046357615894039736","0.16709118695873662","0.8129850899203448","0.3559322033898305","0.970455059995472","0.4843776532518254","0.24248599083036168","0.6372898624554254","0.8269989449226257","0.3785310734463277","0.9500565930956423","0.48123620309050774","0.1823739174732552","0.6576668364747835"
"17","0.14605218287679958","0.07344632768361582","0.16430835408648403","0.16666666666666666","0.16454406520631687","0.16709118695873662","0.8279904198149045","0.3446327683615819","0.9720964455512792","0.489217184581423","0.24044829342842589","0.6484971981660723","0.8367959424000047","0.4067796610169492","0.9595359366157329","0.48522669383596534","0.18186449312277128","0.6495160468670402"
"18","0.15065811372672658","0.096045197740113","0.16907187323146577","0.16709118695873662","0.16709118695873662","0.16709118695873662","0.85287165738037","0.4152542372881356","0.9801901743264659","0.48633044659534724","0.23739174732552215","0.6393275598573612","0.8552697031605344","0.4378531073446328","0.9629315223542728","0.4872643912379011","0.19103413143148243","0.6479877738155884"
"19","0.1494981569191687","0.07909604519774012","0.16836445953593662","0.16709118695873662","0.16709118695873662","0.16709118695873662","0.8617617764129487","0.3813559322033898","0.9852841294996604","0.4913397860417728","0.250127356087621","0.63015792154865","0.8667322631221491","0.4632768361581921","0.9666062938646139","0.4833588045508575","0.1925624044829343","0.6449312277126846"
"20","0.15224839171972104","0.09322033898305085","0.1690910119990944","0.16709118695873662","0.16709118695873662","0.16709118695873662","0.8827387553294539","0.4661016949152542","0.9895290921439891","0.49550008490405834","0.2684666327050433","0.6316861946001019","0.8811312174282045","0.4943502824858757","0.9702886247877759","0.48658515877058917","0.17880794701986755","0.6383087111563933"
"21","0.1504105145900493","0.08757062146892655","0.1658177702320317","0.16709118695873662","0.16709118695873662","0.16709118695873662","0.8911570110162926","0.4830508474576271","0.9912270772017207","0.4912548819833588","0.26591951095262356","0.6316861946001019","0.9011695719220919","0.5790960451977402","0.9728353140916808","0.4855663100696213","0.19103413143148243","0.6561385634233317"
"22","0.15156281299506105","0.09887005649717515","0.16628933665383744","0.16709118695873662","0.16709118695873662","0.16709118695873662","0.9008571365058752","0.519774011299435","0.9964629315223543","0.49490575649516044","0.26642893530310746","0.6327050433010698","0.912878838257928","0.615819209039548","0.9813242784380306","0.48879266428935303","0.19765664798777383","0.6566479877738156"
"23","0.15307742012923878","0.11299435028248588","0.16668553316730814","0.16709118695873662","0.16709118695873662","0.16709118695873662","0.9050857593758782","0.559322033898305","0.9975947934352009","0.48531159789437933","0.2766174223127866","0.6235354049923586","0.9227652414185349","0.6610169491525424","0.9807583474816073","0.48717948717948717","0.1869587366276108","0.6546102903718798"
"24","0.15019288395937283","0.0903954802259887","0.1671383291827032","0.16709118695873662","0.16709118695873662","0.16709118695873662","0.9100703566904126","0.6271186440677966","0.99830220713073","0.4913397860417728","0.2801833927661742","0.63015792154865","0.9349088696026789","0.7288135593220338","0.9830220713073005","0.49320767532688065","0.21293937850229241","0.6622516556291391"
"25","0.1520210902724311","0.096045197740113","0.1673740803621958","0.16709118695873662","0.16709118695873662","0.16709118695873662","0.9209000808565451","0.6384180790960452","0.9992925863044708","0.5024622176940058","0.282730514518594","0.6321956189505858","0.9386033001648549","0.7231638418079096","0.9920769666100736","0.49898115129903214","0.2119205298013245","0.6571574121242996"
"26","0.1482419519671985","0.0847457627118644","0.16558184287978267","0.16709118695873662","0.16709118695873662","0.16709118695873662","0.9344650158702826","0.6666666666666666","0.9988681380871534","0.5028867379860757","0.29037187977585327","0.6398369842078452","0.9531796379965357","0.7937853107344632","0.9937747594793436","0.49533027678723046","0.2251655629139073","0.6622516556291391"
"27","0.15835074242290495","0.1271186440677966","0.1687889077532541","0.16709118695873662","0.16709118695873662","0.16709118695873662","0.9478985419329558","0.7259887005649718","0.9998585172608941","0.5052640516216675","0.28527763627101377","0.630667345899134","0.9614153344609505","0.8389830508474576","0.9903791737408036","0.49906605535744614","0.2119205298013245","0.6561385634233317"
"28","0.15686548795919636","0.11016949152542373","0.17944872085125652","0.19179826795720833","0.16709118695873662","0.315333672949567","0.9488849824647717","0.7231638418079096","0.9998585172608941","0.5010188487009679","0.28680590932246564","0.6408558329088131","0.962339691559583","0.8389830508474576","0.9949066213921901","0.4932925793852947","0.2149770759042282","0.6576668364747835"
"29","0.1948498828793743","0.12146892655367232","0.40086597237944305","0.2240618101545254","0.16709118695873662","0.5089149261334692","0.957656631381104","0.7740112994350282","0.9995755517826825","0.5040753948038716","0.28833418237391745","0.6352521650534896","0.9770574674311696","0.9265536723163842","0.9937747594793436","0.4961793173713704","0.2109016811003566","0.6632705043301069"
"30","0.21270043093061472","0.11299435028248588","0.5311297260584107","0.23000509424350482","0.16709118695873662","0.5445746306673459","0.9591092211355713","0.7740112994350282","1","0.5044999150959415","0.2837493632195619","0.6434029546612328","0.9776062239869162","0.9209039548022598","0.9949066213921901","0.4962642214297843","0.21905247070809986","0.6581762608252675"
"31","0.22368314023384062","0.13559322033898305","0.565740321485171","0.23255221599592457","0.16709118695873662","0.5598573611818645","0.9672355611438314","0.8220338983050848","1","0.5046697232127695","0.30056036678553233","0.6321956189505858","0.9843493031065055","0.9576271186440678","0.9957555178268251","0.50042452029207","0.22567498726439122","0.6581762608252675"
"32","0.22599596264667918","0.12994350282485875","0.5805976907403215","0.23357106469689248","0.16709118695873662","0.5659704533876719","0.9746608534731406","0.864406779661017","0.9995755517826825","0.5067074206147054","0.29750382068262865","0.6327050433010698","0.9856336376538813","0.9689265536723164","0.9960384833050367","0.49575479707930037","0.2215995924605196","0.6500254712175242"
"33","0.22851698243987348","0.12146892655367232","0.5967002490378085","0.23611818644931226","0.16709118695873662","0.5812531839021905","0.9777082196430907","0.8785310734463276","1","0.5086602139582271","0.2959755476311768","0.6357615894039735","0.9870358237674458","0.980225988700565","0.9968873797396718","0.4923586347427407","0.20988283239938868","0.651553744268976"
"34","0.22739496683776514","0.10451977401129943","0.6103973285035091","0.23858040414331805","0.16709118695873662","0.5960264900662252","0.9816444671294873","0.9011299435028248","1","0.5036508745118017","0.2995415180845644","0.6214977075904228","0.9903047191707346","0.981831559882273","0.9966044142614601","0.49711326201392425","0.21293937850229241","0.6490066225165563"
"35","0.23192186674298784","0.12429378531073447","0.6268394838125424","0.24053319748683985","0.16709118695873662","0.6077432501273561","0.9812388774049587","0.9011299435028248","0.9994340690435767","0.5097639667176092","0.3066734589913398","0.6342333163525217","0.9916339387270595","0.985963323522753","0.9974533106960951","0.49728307013075224","0.2215995924605196","0.6490066225165563"
"36","0.23782583900508084","0.1271186440677966","0.6406497622820919","0.24129733401256578","0.16709118695873662","0.6123280692817117","0.9877697217387524","0.9378531073446328","0.9997170345217884","0.5078960774325013","0.3076923076923077","0.6439123790117167","0.9904510012828105","0.9845483359746434","0.9951895868704018","0.5022075055187638","0.22771268466632705","0.6484971981660723"
"37","0.23657871839631858","0.11864406779661017","0.6532148517093049","0.24197656647987772","0.16709118695873662","0.6164034640855833","0.9904539184484914","0.9519774011299436","1","0.5089149261334691","0.30514518593988793","0.6357615894039735","0.9922462659597034","0.9846898347294544","1","0.5","0.23535404992358636","0.6505348955680081"
