"Step","init_pct: 1 - train_auroc(epoch)","init_pct: 1 - train_auroc(epoch)__MIN","init_pct: 1 - train_auroc(epoch)__MAX","init_pct: 1 - valid_auroc(epoch)","init_pct: 1 - valid_auroc(epoch)__MIN","init_pct: 1 - valid_auroc(epoch)__MAX","init_pct: 0.5 - train_auroc(epoch)","init_pct: 0.5 - train_auroc(epoch)__MIN","init_pct: 0.5 - train_auroc(epoch)__MAX","init_pct: 0.5 - valid_auroc(epoch)","init_pct: 0.5 - valid_auroc(epoch)__MIN","init_pct: 0.5 - valid_auroc(epoch)__MAX","init_pct: 0.2 - train_auroc(epoch)","init_pct: 0.2 - train_auroc(epoch)__MIN","init_pct: 0.2 - train_auroc(epoch)__MAX","init_pct: 0.2 - valid_auroc(epoch)","init_pct: 0.2 - valid_auroc(epoch)__MIN","init_pct: 0.2 - valid_auroc(epoch)__MAX","init_pct: 0.1 - train_auroc(epoch)","init_pct: 0.1 - train_auroc(epoch)__MIN","init_pct: 0.1 - train_auroc(epoch)__MAX","init_pct: 0.1 - valid_auroc(epoch)","init_pct: 0.1 - valid_auroc(epoch)__MIN","init_pct: 0.1 - valid_auroc(epoch)__MAX","init_pct: 0.05 - train_auroc(epoch)","init_pct: 0.05 - train_auroc(epoch)__MIN","init_pct: 0.05 - train_auroc(epoch)__MAX","init_pct: 0.05 - valid_auroc(epoch)","init_pct: 0.05 - valid_auroc(epoch)__MIN","init_pct: 0.05 - valid_auroc(epoch)__MAX","init_pct: 0.01 - train_auroc(epoch)","init_pct: 0.01 - train_auroc(epoch)__MIN","init_pct: 0.01 - train_auroc(epoch)__MAX","init_pct: 0.01 - valid_auroc(epoch)","init_pct: 0.01 - valid_auroc(epoch)__MIN","init_pct: 0.01 - valid_auroc(epoch)__MAX"
"0","0.6577652026920555","0.6400150000854721","0.675515405298639","0.8190569845503441","0.8173174196559264","0.8207965494447619","0.5468208065053302","0.5243670206427085","0.569274592367952","0.686442655635584","0.6531749084260103","0.7197104028451579","0.5059096417678475","0.5034680814758744","0.5083512020598205","0.5987047549790431","0.5575329866105879","0.6398765233474982","0.5046986313525694","0.5046458646465064","0.5047513980586323","0.5357824561339062","0.5105738878937918","0.5609910243740206","0.49994949699295277","0.4960506040220287","0.5038483899638768","0.5129424923770461","0.506538608426229","0.5193463763278633","0.4771542595072953","0.45960450110459156","0.494704017909999","0.4983590028875194","0.49152074542532365","0.5051972603497151"
"1","0.8554136697777186","0.8528835201019501","0.8579438194534871","0.8880438422525025","0.8852568884726026","0.8908307960324023","0.741821552119051","0.7247747222133731","0.7588683820247287","0.8141440110179443","0.812826239000984","0.8154617830349045","0.5665535723294007","0.5332906801720844","0.5998164644867171","0.6493811317006053","0.608027451691691","0.6907348117095194","0.5188901356136498","0.5060164992282512","0.5317637719990485","0.5932829236156547","0.5608875727006905","0.625678274530619","0.4982534330379283","0.4876031568029253","0.5089037092729313","0.534246891758331","0.5084831413188176","0.5600106421978442","0.4864255867406584","0.4654872668812667","0.5073639066000502","0.4934543156788264","0.48171065093709853","0.5051979804205543"
"2","0.9073153179878234","0.9068638119008275","0.9077668240748192","0.9096921803266107","0.9090131205670251","0.9103712400861963","0.8437888815211663","0.8426590841928759","0.8449186788494565","0.8519682274022993","0.847753577075354","0.8561828777292445","0.6791367124260891","0.6560964194884595","0.7021770053637186","0.7456919620184888","0.7391363020419758","0.7522476219950017","0.5601422792062106","0.534407645959384","0.5858769124530373","0.6163522491131908","0.5829557915941034","0.6497487066322781","0.5345912936263918","0.5318194540946747","0.5373631331581089","0.5642918670822141","0.5390130153982946","0.5895707187661338","0.5014001117239659","0.483049192568894","0.519751030879038","0.5107707014420887","0.5062419918565081","0.5152994110276693"
"3","0.9323824158628344","0.930996151383085","0.9337686803425838","0.9171373032774163","0.9163614712807414","0.9179131352740911","0.8915541391694803","0.8867720622214614","0.8963362161174991","0.8857117099912726","0.8830971300200403","0.8883262899625048","0.7775777542891091","0.7673147986132639","0.7878407099649545","0.7936792741311519","0.7936209592801738","0.79373758898213","0.637482971235994","0.6178855747746831","0.6570803676973049","0.6509205863105424","0.6327159175742925","0.6691252550467923","0.5507070360337734","0.5350281080805477","0.5663859639869991","0.592748633071029","0.55892041553014","0.6265768506119178","0.4964097134900699","0.48691208935968944","0.5059073376204504","0.5095819110073629","0.5049609742213297","0.5142028477933961"
"4","0.9502033464672516","0.9477202477008194","0.9526864452336837","0.9195296108128957","0.9179635716231896","0.9210956500026019","0.9234613785849373","0.9183232705798513","0.9285994865900231","0.8964621923103165","0.8940863815324901","0.898838003088143","0.8454336475207609","0.8379506361301092","0.8529166589114126","0.8175968177922102","0.81120452876047","0.8239891068239503","0.7014644510705748","0.689458872406313","0.7134700297348364","0.6763084710448312","0.6511939422738526","0.7014229998158097","0.5896754571732026","0.5769824040892905","0.6023685102571148","0.6063613328170138","0.5707372500374301","0.6419854155965974","0.525158218369483","0.4864096826848223","0.5639067540541437","0.5134649861772043","0.5083222173751912","0.5186077549792172"
"5","0.9619564596558856","0.9584056610499997","0.9655072582617716","0.9201260724692583","0.9187654835236715","0.921486661414845","0.9442453993378153","0.9392604811411004","0.9492303175345301","0.8989430257310425","0.8984323775933913","0.8994536738686937","0.8867958398181245","0.8808306977027186","0.8927609819335304","0.839216250278154","0.8351815883371102","0.8432509122191979","0.7716221448160108","0.7669471634627905","0.776297126169231","0.7371656821347282","0.7299937441332905","0.7443376201361659","0.6405906518723621","0.6392244195754291","0.6419568841692952","0.6166795667766254","0.5809145776623853","0.6524445558908656","0.547127125655946","0.5227941268587586","0.5714601244531334","0.519474479983687","0.5050467588112991","0.5339022011560749"
"6","0.9720080350472279","0.9684298118687883","0.9755862582256675","0.9160949557082524","0.9147234420230347","0.9174664693934701","0.958966160836087","0.9549476033656005","0.9629847183065735","0.8967561513566001","0.8965893453867367","0.8969229573264635","0.9205516510326305","0.9145171760505441","0.9265861260147169","0.8520413778357323","0.85175896472064","0.8523237909508246","0.822841957484701","0.8216425349707697","0.8240413799986323","0.7709430158654569","0.755441895200128","0.7864441365307856","0.6846523300656473","0.6697904762871453","0.6995141838441494","0.6348514466324602","0.6033432515831213","0.6663596416817991","0.5470287284759062","0.5352860119650541","0.5587714449867583","0.5224813264249194","0.5056259713677419","0.5393366814820969"
"7","0.97888021823349","0.976168030564223","0.9815924059027571","0.9114307958876984","0.9085705926361682","0.9142909991392285","0.9694340056510453","0.9651828908728103","0.9736851204292803","0.89344134249201","0.8911252028323768","0.8957574821516431","0.9446542210553412","0.9375649049066954","0.9517435372039872","0.8521544617606174","0.849954587109813","0.8543543364114218","0.8716153615355219","0.8707544926786587","0.8724762303923851","0.7804492578537909","0.7767102227006141","0.7841882930069678","0.7220968141590336","0.7133846987656053","0.7308089295524619","0.658630916958322","0.6404097450226467","0.6768520888939974","0.5532203451188552","0.5305974474814906","0.5758432427562198","0.5280248265339866","0.5097531995496662","0.5462964535183071"
"8","0.9831110969440877","0.9816738243756032","0.9845483695125722","0.9108122646851589","0.9095626074333066","0.9120619219370111","0.9766164306742142","0.9735645977210802","0.9796682636273482","0.8960035961708445","0.8954495957966276","0.8965575965450613","0.9618120208216778","0.9543820466602154","0.9692419949831401","0.8540953502848483","0.8512515193934642","0.8569391811762325","0.9064640541514783","0.9044020709137132","0.9085260373892435","0.7889315425637674","0.7871917879084983","0.7906712972190365","0.7799732498107786","0.7756479716757002","0.7842985279458571","0.6774703258027941","0.6649654045286576","0.6899752470769305","0.581268443890208","0.5749557099334467","0.5875811778469695","0.5355298252035148","0.5155482033487956","0.5555114470582339"
"9","0.9871378967799539","0.9858939151251723","0.9883818784347355","0.9086585290592673","0.9067608119241505","0.910556246194384","0.9833082374265946","0.9802269953601667","0.9863894794930225","0.8899911001568053","0.8883469064826381","0.8916352938309725","0.9726637356596098","0.9687929979480844","0.9765344733711353","0.8553093042197466","0.8489023311595414","0.8617162772799517","0.93453628936636","0.9287788103871305","0.9402937683455895","0.8007051570418722","0.7938464912572907","0.8075638228264536","0.8134511246634523","0.8079366939154738","0.8189655554114307","0.6961076631858036","0.6898913943960077","0.7023239319755996","0.5955783153525342","0.5706324749855124","0.6205241557195561","0.5445654044849781","0.5212210788651324","0.5679097301048238"
