"Step","init_pct: 1 - train_auroc(epoch)","init_pct: 1 - train_auroc(epoch)__MIN","init_pct: 1 - train_auroc(epoch)__MAX","init_pct: 1 - valid_auroc(epoch)","init_pct: 1 - valid_auroc(epoch)__MIN","init_pct: 1 - valid_auroc(epoch)__MAX","init_pct: 0.5 - train_auroc(epoch)","init_pct: 0.5 - train_auroc(epoch)__MIN","init_pct: 0.5 - train_auroc(epoch)__MAX","init_pct: 0.5 - valid_auroc(epoch)","init_pct: 0.5 - valid_auroc(epoch)__MIN","init_pct: 0.5 - valid_auroc(epoch)__MAX","init_pct: 0.2 - train_auroc(epoch)","init_pct: 0.2 - train_auroc(epoch)__MIN","init_pct: 0.2 - train_auroc(epoch)__MAX","init_pct: 0.2 - valid_auroc(epoch)","init_pct: 0.2 - valid_auroc(epoch)__MIN","init_pct: 0.2 - valid_auroc(epoch)__MAX","init_pct: 0.1 - train_auroc(epoch)","init_pct: 0.1 - train_auroc(epoch)__MIN","init_pct: 0.1 - train_auroc(epoch)__MAX","init_pct: 0.1 - valid_auroc(epoch)","init_pct: 0.1 - valid_auroc(epoch)__MIN","init_pct: 0.1 - valid_auroc(epoch)__MAX","init_pct: 0.05 - train_auroc(epoch)","init_pct: 0.05 - train_auroc(epoch)__MIN","init_pct: 0.05 - train_auroc(epoch)__MAX","init_pct: 0.05 - valid_auroc(epoch)","init_pct: 0.05 - valid_auroc(epoch)__MIN","init_pct: 0.05 - valid_auroc(epoch)__MAX","init_pct: 0.01 - train_auroc(epoch)","init_pct: 0.01 - train_auroc(epoch)__MIN","init_pct: 0.01 - train_auroc(epoch)__MAX","init_pct: 0.01 - valid_auroc(epoch)","init_pct: 0.01 - valid_auroc(epoch)__MIN","init_pct: 0.01 - valid_auroc(epoch)__MAX"
"0","0.5031909419950368","0.5031909419950368","0.5031909419950368","0.5079457398949304","0.5079457398949304","0.5079457398949304","0.4957509098393998","0.4957509098393998","0.4957509098393998","0.48395780688684037","0.48395780688684037","0.48395780688684037","0.495065556889655","0.495065556889655","0.495065556889655","0.47518366001714113","0.47518366001714113","0.47518366001714113","0.485064302631514","0.485064302631514","0.485064302631514","0.4738688776857776","0.4738688776857776","0.4738688776857776","0.4848745263480143","0.4848745263480143","0.4848745263480143","0.4736841251883464","0.4736841251883464","0.4736841251883464","0.4698813626500566","0.4698813626500566","0.4698813626500566","0.4736239572581688","0.4736239572581688","0.4736239572581688"
"1","0.503740891710851","0.503740891710851","0.503740891710851","0.536306799400388","0.536306799400388","0.536306799400388","0.49746675979278693","0.49746675979278693","0.49746675979278693","0.5090607332325233","0.5090607332325233","0.5090607332325233","0.5044147991100341","0.5044147991100341","0.5044147991100341","0.4795058299839241","0.4795058299839241","0.4795058299839241","0.4936022557953772","0.4936022557953772","0.4936022557953772","0.47514798143259035","0.47514798143259035","0.47514798143259035","0.49996302088534644","0.49996302088534644","0.49996302088534644","0.4738576413374069","0.4738576413374069","0.4738576413374069","0.46669203399748943","0.46669203399748943","0.46669203399748943","0.47362379964833035","0.47362379964833035","0.47362379964833035"
"2","0.5014798849640162","0.5014798849640162","0.5014798849640162","0.555485170403538","0.555485170403538","0.555485170403538","0.5059982878298216","0.5059982878298216","0.5059982878298216","0.5268710670672258","0.5268710670672258","0.5268710670672258","0.4954299599768735","0.4954299599768735","0.4954299599768735","0.48911733755256653","0.48911733755256653","0.48911733755256653","0.5116225433185044","0.5116225433185044","0.5116225433185044","0.4769012330543438","0.4769012330543438","0.4769012330543438","0.49646519598228434","0.49646519598228434","0.49646519598228434","0.47440847625004096","0.47440847625004096","0.47440847625004096","0.49952596541648125","0.49952596541648125","0.49952596541648125","0.4736575849180917","0.4736575849180917","0.4736575849180917"
"3","0.49990755021702943","0.49990755021702943","0.49990755021702943","0.573023220717626","0.573023220717626","0.573023220717626","0.4983379979617246","0.4983379979617246","0.4983379979617246","0.5405678114815092","0.5405678114815092","0.5405678114815092","0.5018831288571833","0.5018831288571833","0.5018831288571833","0.4993372682631412","0.4993372682631412","0.4993372682631412","0.49934162880685","0.49934162880685","0.49934162880685","0.479541600439727","0.479541600439727","0.479541600439727","0.5067180550436262","0.5067180550436262","0.5067180550436262","0.4751329229469307","0.4751329229469307","0.4751329229469307","0.49417208540178215","0.49417208540178215","0.49417208540178215","0.473672270227103","0.473672270227103","0.473672270227103"
"4","0.5004383445638706","0.5004383445638706","0.5004383445638706","0.5886873276179657","0.5886873276179657","0.5886873276179657","0.5015260433729","0.5015260433729","0.5015260433729","0.5505843081613555","0.5505843081613555","0.5505843081613555","0.5012628128991894","0.5012628128991894","0.5012628128991894","0.5082310929194909","0.5082310929194909","0.5082310929194909","0.5025832501425107","0.5025832501425107","0.5025832501425107","0.48365484822335786","0.48365484822335786","0.48365484822335786","0.5093592603159034","0.5093592603159034","0.5093592603159034","0.47588214373463883","0.47588214373463883","0.47588214373463883","0.5009355724449437","0.5009355724449437","0.5009355724449437","0.47371932835998526","0.47371932835998526","0.47371932835998526"
"5","0.5018033543118443","0.5018033543118443","0.5018033543118443","0.6036397442521799","0.6036397442521799","0.6036397442521799","0.5035399877750816","0.5035399877750816","0.5035399877750816","0.56007437383316","0.56007437383316","0.56007437383316","0.4994854138430982","0.4994854138430982","0.4994854138430982","0.5156151579124063","0.5156151579124063","0.5156151579124063","0.502833709948656","0.502833709948656","0.502833709948656","0.4886848633290022","0.4886848633290022","0.4886848633290022","0.49644635909297946","0.49644635909297946","0.49644635909297946","0.4767974375998347","0.4767974375998347","0.4767974375998347","0.4902078954306199","0.4902078954306199","0.4902078954306199","0.47377628564352947","0.47377628564352947","0.47377628564352947"
"6","0.5006127410066904","0.5006127410066904","0.5006127410066904","0.619331007790176","0.619331007790176","0.619331007790176","0.5022635041511063","0.5022635041511063","0.5022635041511063","0.5684193358335682","0.5684193358335682","0.5684193358335682","0.5026736295185853","0.5026736295185853","0.5026736295185853","0.5216533321677493","0.5216533321677493","0.5216533321677493","0.49466657546806814","0.49466657546806814","0.49466657546806814","0.4940284818339375","0.4940284818339375","0.4940284818339375","0.5038525890389051","0.5038525890389051","0.5038525890389051","0.4778922096551408","0.4778922096551408","0.4778922096551408","0.5362691456738005","0.5362691456738005","0.5362691456738005","0.47382696267351565","0.47382696267351565","0.47382696267351565"
"7","0.49792775594456956","0.49792775594456956","0.49792775594456956","0.6339466783721943","0.6339466783721943","0.6339466783721943","0.498785648506","0.498785648506","0.498785648506","0.5769588811047596","0.5769588811047596","0.5769588811047596","0.49937116878274446","0.49937116878274446","0.49937116878274446","0.527328363510034","0.527328363510034","0.527328363510034","0.4971195602186948","0.4971195602186948","0.4971195602186948","0.4992785600268279","0.4992785600268279","0.4992785600268279","0.49923399028570453","0.49923399028570453","0.49923399028570453","0.47948340710385845","0.47948340710385845","0.47948340710385845","0.5181332044144499","0.5181332044144499","0.5181332044144499","0.47397317653991494","0.47397317653991494","0.47397317653991494"
"8","0.5010809086730798","0.5010809086730798","0.5010809086730798","0.6476685970968513","0.6476685970968513","0.6476685970968513","0.5031126782896885","0.5031126782896885","0.5031126782896885","0.5845037695650976","0.5845037695650976","0.5845037695650976","0.4990170567441589","0.4990170567441589","0.4990170567441589","0.5317707556237204","0.5317707556237204","0.5317707556237204","0.495345704158294","0.495345704158294","0.495345704158294","0.5041169404293128","0.5041169404293128","0.5041169404293128","0.5089064213487284","0.5089064213487284","0.5089064213487284","0.4813949533011484","0.4813949533011484","0.4813949533011484","0.4860198252099101","0.4860198252099101","0.4860198252099101","0.47409367569358957","0.47409367569358957","0.47409367569358957"
"9","0.5005036127794102","0.5005036127794102","0.5005036127794102","0.662294801715171","0.662294801715171","0.662294801715171","0.5017271985429148","0.5017271985429148","0.5017271985429148","0.5926164675804985","0.5926164675804985","0.5926164675804985","0.5021265743316515","0.5021265743316515","0.5021265743316515","0.536039114182712","0.536039114182712","0.536039114182712","0.49389752714452645","0.49389752714452645","0.49389752714452645","0.5081683872069358","0.5081683872069358","0.5081683872069358","0.5188555708174573","0.5188555708174573","0.5188555708174573","0.48352957569344696","0.48352957569344696","0.48352957569344696","0.4819259402297058","0.4819259402297058","0.4819259402297058","0.4742461116440266","0.4742461116440266","0.4742461116440266"
