"Step","model_name_or_path: bert - train_auroc(epoch)","model_name_or_path: bert - train_auroc(epoch)__MIN","model_name_or_path: bert - train_auroc(epoch)__MAX","model_name_or_path: bert - valid_auroc(epoch)","model_name_or_path: bert - valid_auroc(epoch)__MIN","model_name_or_path: bert - valid_auroc(epoch)__MAX","model_name_or_path: cnnlstm - train_auroc(epoch)","model_name_or_path: cnnlstm - train_auroc(epoch)__MIN","model_name_or_path: cnnlstm - train_auroc(epoch)__MAX","model_name_or_path: cnnlstm - valid_auroc(epoch)","model_name_or_path: cnnlstm - valid_auroc(epoch)__MIN","model_name_or_path: cnnlstm - valid_auroc(epoch)__MAX","model_name_or_path: bilstm - train_auroc(epoch)","model_name_or_path: bilstm - train_auroc(epoch)__MIN","model_name_or_path: bilstm - train_auroc(epoch)__MAX","model_name_or_path: bilstm - valid_auroc(epoch)","model_name_or_path: bilstm - valid_auroc(epoch)__MIN","model_name_or_path: bilstm - valid_auroc(epoch)__MAX"
"0","0.48897126672561275","0.4698813626500566","0.5031909419950368","0.48137736115520074","0.4736239572581688","0.5079457398949304","0.5355736949165898","0.45960450110459156","0.675515405298639","0.6249385398330912","0.5051972603497151","0.8173174196559264","0.5285256513560939","0.494704017909999","0.6400150000854721","0.5921575756880565","0.49152074542532365","0.8207965494447619"
"1","0.49431329354864745","0.46669203399748943","0.5044147991100341","0.4912504641725272","0.47362379964833035","0.536306799400388","0.6196205191277737","0.4654872668812667","0.8528835201019501","0.6760362511414447","0.48171065093709853","0.8852568884726026","0.6028321307450285","0.4876031568029253","0.8579438194534871","0.6481481208665101","0.5051979804205543","0.8908307960324023"
"2","0.5017536395813301","0.4954299599768735","0.5116225433185044","0.4994068115409678","0.4736575849180917","0.555485170403538","0.6820516509524573","0.519751030879038","0.9077668240748192","0.7105008395910319","0.5062419918565081","0.9090131205670251","0.6600732145447583","0.483049192568894","0.9068638119008275","0.6890882228705989","0.5152994110276693","0.9103712400861963"
"3","0.5000600743813659","0.49417208540178215","0.5067180550436262","0.5068791823460063","0.473672270227103","0.573023220717626","0.7213873379115051","0.48691208935968944","0.9337686803425838","0.7334400156831276","0.5049609742213297","0.9179131352740911","0.7073173387822486","0.5059073376204504","0.930996151383085","0.7164864569131306","0.5142028477933961","0.9163614712807414"
"4","0.5026842139565529","0.5004383445638706","0.5093592603159034","0.513459841502799","0.47371932835998526","0.5886873276179657","0.7560751355686488","0.4864096826848223","0.9526864452336837","0.7509898217177199","0.5186077549792172","0.9210956500026019","0.7557236974934213","0.5639067540541437","0.9477202477008194","0.7255846486004374","0.5083222173751912","0.9179635716231896"
"5","0.49905278673371317","0.4902078954306199","0.5035399877750816","0.5197646437616853","0.47377628564352947","0.6036397442521799","0.7914244491545195","0.5227941268587586","0.9655072582617716","0.7629684284652991","0.5339022011560749","0.9187654835236715","0.7926880912308619","0.5714601244531334","0.9584056610499997","0.7475665973258661","0.5050467588112991","0.921486661414845"
"6","0.506723030809526","0.49466657546806814","0.5362691456738005","0.5258585549923479","0.47382696267351565","0.619331007790176","0.8202666388878219","0.5352860119650541","0.9755862582256675","0.7707572637390271","0.5393366814820969","0.9147234420230347","0.8150829820929116","0.5587714449867583","0.9684298118687883","0.7602988275354469","0.5056259713677419","0.9174664693934701"
"7","0.5017618880253606","0.4971195602186948","0.5181332044144499","0.5318281777762649","0.47397317653991494","0.6339466783721943","0.8398636555414393","0.5305974474814906","0.9815924059027571","0.7749181912818796","0.5462964535183071","0.9085705926361682","0.8401033330429897","0.5758432427562198","0.976168030564223","0.7664590092135958","0.5097531995496662","0.9142909991392285"
"8","0.49891376573730994","0.4860198252099101","0.5089064213487284","0.5372581152849534","0.47409367569358957","0.6476685970968513","0.8675356358391623","0.5875811778469695","0.9845483695125722","0.7816750342359158","0.5555114470582339","0.9095626074333066","0.8622127962583193","0.5749557099334467","0.9816738243756032","0.7726059340010601","0.5155482033487956","0.9120619219370111"
"9","0.49983940397427773","0.4819259402297058","0.5188555708174573","0.5428157430037984","0.4742461116440266","0.662294801715171","0.8783614614242449","0.5706324749855124","0.9883818784347355","0.7874499305491147","0.5679097301048238","0.910556246194384","0.8838637383252568","0.6205241557195561","0.9858939151251723","0.7776624555003764","0.5212210788651324","0.9067608119241505"
