"Step","init_pct: 1 - train_loss(epoch)","init_pct: 1 - train_loss(epoch)__MIN","init_pct: 1 - train_loss(epoch)__MAX","init_pct: 1 - valid_loss(epoch)","init_pct: 1 - valid_loss(epoch)__MIN","init_pct: 1 - valid_loss(epoch)__MAX","init_pct: 0.5 - train_loss(epoch)","init_pct: 0.5 - train_loss(epoch)__MIN","init_pct: 0.5 - train_loss(epoch)__MAX","init_pct: 0.5 - valid_loss(epoch)","init_pct: 0.5 - valid_loss(epoch)__MIN","init_pct: 0.5 - valid_loss(epoch)__MAX","init_pct: 0.2 - train_loss(epoch)","init_pct: 0.2 - train_loss(epoch)__MIN","init_pct: 0.2 - train_loss(epoch)__MAX","init_pct: 0.2 - valid_loss(epoch)","init_pct: 0.2 - valid_loss(epoch)__MIN","init_pct: 0.2 - valid_loss(epoch)__MAX","init_pct: 0.1 - train_loss(epoch)","init_pct: 0.1 - train_loss(epoch)__MIN","init_pct: 0.1 - train_loss(epoch)__MAX","init_pct: 0.1 - valid_loss(epoch)","init_pct: 0.1 - valid_loss(epoch)__MIN","init_pct: 0.1 - valid_loss(epoch)__MAX","init_pct: 0.05 - train_loss(epoch)","init_pct: 0.05 - train_loss(epoch)__MIN","init_pct: 0.05 - train_loss(epoch)__MAX","init_pct: 0.05 - valid_loss(epoch)","init_pct: 0.05 - valid_loss(epoch)__MIN","init_pct: 0.05 - valid_loss(epoch)__MAX","init_pct: 0.01 - train_loss(epoch)","init_pct: 0.01 - train_loss(epoch)__MIN","init_pct: 0.01 - train_loss(epoch)__MAX","init_pct: 0.01 - valid_loss(epoch)","init_pct: 0.01 - valid_loss(epoch)__MIN","init_pct: 0.01 - valid_loss(epoch)__MAX"
"0","0.2521157684943659","0.24815359604444434","0.25607794094428743","0.1957804225385189","0.19389453530311584","0.19766630977392197","0.281561299094132","0.2807393359286445","0.28238326225961957","0.24711753614246845","0.23721574246883392","0.257019329816103","0.308045817805188","0.30504961205380304","0.31104202355657307","0.26799180172383785","0.2665744535624981","0.2694091498851776","0.34302687751395367","0.3394128509930202","0.34664090403488707","0.2719083670526743","0.271512046456337","0.2723046876490116","0.40502578445843285","0.40215212958199636","0.4078994393348694","0.29022317565977573","0.28115974366664886","0.2992866076529026","0.6068698018789291","0.5945739150047302","0.619165688753128","0.3388135265558958","0.2893434129655361","0.3882836401462555"
"1","0.1783359803848987","0.17816524818646823","0.17850671258332917","0.16246540378779173","0.1614231262356043","0.16350768133997917","0.2205236188002995","0.21249411361558096","0.22855312398501804","0.20109914988279343","0.19814236462116241","0.20405593514442444","0.2649778425693512","0.2625160834618977","0.2674396016768047","0.2565529402345419","0.24861101061105728","0.2644948698580265","0.2722641740526472","0.2706198287861688","0.2739085193191256","0.26805923879146576","0.2663437947630882","0.2697746828198433","0.28182079323700493","0.2778093091079167","0.28583227736609323","0.2718322202563286","0.27155522257089615","0.272109217941761","0.36149322986602783","0.34161578118801117","0.3813706785440445","0.3262096345424652","0.309148121625185","0.3432711474597454"
"2","0.14774295617993788","0.14729131736772524","0.1481945949921505","0.14965840987861156","0.1493410710245371","0.14997574873268604","0.18198026620915958","0.17948476757322038","0.18447576484509876","0.18230310548096895","0.17914969846606255","0.18545651249587536","0.24236293961959227","0.23438022498573577","0.25034565425344874","0.22616529930382967","0.22082823887467384","0.2315023597329855","0.2673356437257358","0.2668196303503854","0.2678516571010862","0.26393972896039486","0.2611232176423073","0.26675624027848244","0.2724258197205407","0.2704845794609615","0.27436705998011995","0.27134257182478905","0.2687818370759487","0.2739033065736294","0.313436321914196","0.3103887438774109","0.31648389995098114","0.2932152822613716","0.29256897419691086","0.29386159032583237"
"3","0.12868455462425732","0.12830716473378723","0.1290619445147274","0.14672533608973026","0.1458524391055107","0.1475982330739498","0.1575773578070636","0.1547806185670197","0.16037409704710756","0.1670615952461958","0.16696002334356308","0.1671631671488285","0.2082920742354223","0.202986373433045","0.21359777503779956","0.20590980257838964","0.20281505212187767","0.20900455303490162","0.25810808528746876","0.25384953724486486","0.26236663333007265","0.256341515108943","0.2500055581331253","0.26267747208476067","0.2702075051409858","0.2687314876488277","0.2716835226331438","0.2672662138938904","0.2660103142261505","0.26852211356163025","0.2936698943376541","0.2860167324542999","0.3013230562210083","0.2849745023995638","0.27726960927248","0.29267939552664757"
"4","0.112883179696451","0.11156450824396645","0.11420185114893554","0.14951556362211704","0.14684191159904003","0.15218921564519405","0.13538556787784078","0.1332460449143712","0.13752509084131037","0.164457137696445","0.1643624510616064","0.16455182433128357","0.18016912575278965","0.17591263673135213","0.18442561477422714","0.19920014031231403","0.1930295191705227","0.20537076145410538","0.2411314057452338","0.2364877164363861","0.24577509505408152","0.2507201861590147","0.2376612089574337","0.2637791633605957","0.26658037943499424","0.2665125089032309","0.2666482499667576","0.26590227521955967","0.26434610038995743","0.2674584500491619","0.28213925659656525","0.2767917364835739","0.2874867767095566","0.2779632341116667","0.27736011892557144","0.2785663492977619"
"5","0.09987931546299524","0.09721127032845032","0.10254736059754015","0.1563760954886675","0.15521952137351036","0.15753266960382462","0.11765584232052789","0.11510241130433445","0.12020927333672132","0.16775261890143156","0.16673578135669231","0.1687694564461708","0.1577638584588255","0.1540826042847974","0.16144511263285363","0.19590665213763714","0.19243013486266136","0.19938316941261292","0.21840105525084905","0.2145008412855012","0.2223012692161969","0.22965851332992315","0.2276601493358612","0.2316568773239851","0.261940741113254","0.2607766900743757","0.2631047921521323","0.26313449442386627","0.26016954332590103","0.2660994455218315","0.27940305322408676","0.2739222049713135","0.28488390147686005","0.2767227776348591","0.27325714379549026","0.2801884114742279"
"6","0.08707381261800745","0.08340514443895157","0.09074248079706332","0.16884747799485922","0.16585187800228596","0.17184307798743248","0.10250763430127076","0.10026185329604362","0.1047534153064979","0.1723704244941473","0.172145064920187","0.1725957840681076","0.13585404240127122","0.1323988905974797","0.13930919420506274","0.1939028399065137","0.19072482734918594","0.19708085246384144","0.19242636274014202","0.19181242691619055","0.19304029856409347","0.22050712071359158","0.21930516883730888","0.22170907258987427","0.25499890531812397","0.25097462960651945","0.2590231810297285","0.2590057644993067","0.2545669302344322","0.26344459876418114","0.2735835984349251","0.26961997151374817","0.277547225356102","0.2731356509029865","0.2720418721437454","0.27422942966222763"
"7","0.07659385242606614","0.07380231386452592","0.07938539098760636","0.1834242409095168","0.17428945377469063","0.192559028044343","0.08905763848784512","0.08692534911845412","0.09118992785723613","0.18421588465571404","0.1809197384864092","0.18751203082501888","0.11659488467765705","0.11113195254334382","0.1220578168119703","0.20212402753531933","0.19454634748399258","0.20970170758664608","0.16783721425703593","0.16641878336668015","0.16925564514739172","0.2202682476490736","0.21600191853940487","0.22453457675874233","0.24413468156542095","0.23977323515074594","0.248496127980096","0.25230597984045744","0.24890197440981865","0.25570998527109623","0.2719746008515358","0.27050018310546875","0.27344901859760284","0.2761756330728531","0.2749153859913349","0.27743588015437126"
"8","0.06869483526910006","0.06789750767295523","0.06949216286524487","0.19281060248613358","0.18547189980745316","0.200149305164814","0.07849733363587542","0.07725709359593956","0.07973757367581129","0.18659834563732147","0.18417790159583092","0.18901878967881203","0.09919110845242228","0.09346721081861428","0.10491500608623028","0.21157039888203144","0.2012772001326084","0.22186359763145447","0.14647038839757442","0.14602211916020938","0.14691865763493947","0.2275294829159975","0.21968841180205345","0.23537055402994156","0.22809675868068424","0.22774341915334975","0.2284500982080187","0.24845677334815264","0.24358000792562962","0.25333353877067566","0.27211205661296844","0.26932449638843536","0.2748996168375015","0.2713014893233776","0.2703367695212364","0.2722662091255188"
"9","0.06087575986957941","0.060529119273138456","0.06122240046602037","0.19852285459637642","0.19417289458215237","0.20287281461060047","0.06713343858334286","0.06441395093715982","0.0698529262295259","0.21675505582243204","0.1995396763086319","0.23397043533623219","0.08403378997796349","0.08112403471022844","0.08694354524569851","0.22665417287498713","0.22190627455711365","0.2314020711928606","0.12501724836017405","0.123056275503976","0.1269782212163721","0.2285536779090762","0.22527005150914192","0.2318373043090105","0.2115312825356211","0.20973100193909236","0.21333156313214982","0.24383857194334269","0.23953271098434925","0.24814443290233612","0.2679300233721733","0.2669900208711624","0.2688700258731842","0.27022525295615196","0.26986874639987946","0.27058175951242447"
